"","Aug_long","mil_time"
"1",NA,1
"2",NA,1
"3",NA,1
"4",NA,1
"5",NA,1
"6",NA,1
"7",0.378772814287315,1
"8",NA,1
"9",NA,1
"10",NA,1
"11",NA,1
"12",0.672207239941478,1
"13",NA,1
"14",0.279269491476652,1
"15",NA,2
"16",NA,2
"17",NA,2
"18",NA,2
"19",0.517924821581125,2
"20",NA,2
"21",0.422005879031574,2
"22",0.316442460941454,2
"23",NA,2
"24",NA,2
"25",NA,2
"26",0.77607353690395,2
"27",NA,2
"28",0.294682215386793,2
"29",NA,3
"30",NA,3
"31",NA,3
"32",NA,3
"33",0.254866390917643,3
"34",NA,3
"35",0.413947053825565,3
"36",NA,3
"37",NA,3
"38",NA,3
"39",NA,3
"40",0.303318371319438,3
"41",0.19616024734196,3
"42",0.349362771587554,3
"43",0.513113135124646,4
"44",NA,4
"45",NA,4
"46",NA,4
"47",0.101089420823629,4
"48",0.531394909048203,4
"49",0.346784438367687,4
"50",NA,4
"51",NA,4
"52",NA,4
"53",NA,4
"54",0.11455674336967,4
"55",0.602964402572442,4
"56",NA,4
"57",NA,5
"58",NA,5
"59",NA,5
"60",NA,5
"61",NA,5
"62",NA,5
"63",0.381454218885681,5
"64",NA,5
"65",NA,5
"66",NA,5
"67",NA,5
"68",0.339158858413977,5
"69",NA,5
"70",0.384736589593459,5
"71",0.470572856918461,6
"72",NA,6
"73",-0.102133220875208,6
"74",NA,6
"75",NA,6
"76",NA,6
"77",0.218061463840601,6
"78",NA,6
"79",NA,6
"80",NA,6
"81",NA,6
"82",0.207591613552481,6
"83",NA,6
"84",0.333986208207859,6
"85",NA,7
"86",NA,7
"87",NA,7
"88",NA,7
"89",0.331609215864862,7
"90",NA,7
"91",0.264645137381061,7
"92",NA,7
"93",0.169195504748226,7
"94",NA,7
"95",NA,7
"96",NA,7
"97",0.225949057317105,7
"98",NA,7
"99",-0.0630154198937086,8
"100",0.159945502240012,8
"101",NA,8
"102",0.298623777145445,8
"103",NA,8
"104",0.378170444362774,8
"105",NA,8
"106",NA,8
"107",0.176609221447024,8
"108",NA,8
"109",0.295688193928946,8
"110",0.244036082581555,8
"111",NA,8
"112",NA,8
"113",0.192994618290367,9
"114",0.30978106154123,9
"115",NA,9
"116",0.236212412296968,9
"117",0.305894013213283,9
"118",NA,9
"119",NA,9
"120",NA,9
"121",0.238568917591098,9
"122",0.152166922010439,9
"123",0.29245614674723,9
"124",0.261573126259269,9
"125",NA,9
"126",NA,9
"127",0.884781177448941,10
"128",0.20718335045681,10
"129",0.200676576188079,10
"130",NA,10
"131",0.284943930942181,10
"132",NA,10
"133",NA,10
"134",0.344666652265085,10
"135",0.28901197553199,10
"136",NA,10
"137",0.235798159316721,10
"138",0.303039994903835,10
"139",NA,10
"140",NA,10
"141",0.26643734778642,11
"142",0.226222365277522,11
"143",0.225030961599482,11
"144",0.18048670547016,11
"145",0.196968875431985,11
"146",0.222897695433314,11
"147",NA,11
"148",0.23251834982509,11
"149",0.184457055314687,11
"150",0.240098881251488,11
"151",0.266508444487744,11
"152",NA,11
"153",NA,11
"154",NA,11
"155",0.313859240283399,12
"156",0.295604055313729,12
"157",0.281427032294252,12
"158",0.279476599325575,12
"159",0.404589919522999,12
"160",0.404386184490686,12
"161",0.22388164119558,12
"162",0.396946304219207,12
"163",0.252418328565116,12
"164",0.289444368834978,12
"165",0.279455761129508,12
"166",0.300202277708886,12
"167",0.317694482433448,12
"168",0.395378112373345,12
"169",0.342222215039653,13
"170",0.344730520622132,13
"171",0.326825084467167,13
"172",0.250098612522406,13
"173",0.273266565252909,13
"174",0.275361197160248,13
"175",0.386383228315961,13
"176",0.370694728789785,13
"177",0.314464173250646,13
"178",0.26215839934696,13
"179",0.29672316260633,13
"180",0.257636718871776,13
"181",0.322999765505093,13
"182",0.269141502312492,13
"183",0.258568399244854,14
"184",0.288847377488301,14
"185",0.30695317966233,14
"186",0.351439026744827,14
"187",0.338411427562033,14
"188",0.435164711413532,14
"189",0.332337351912118,14
"190",0.345568622027085,14
"191",0.209953239518449,14
"192",0.281127534726571,14
"193",0.312728823146842,14
"194",0.409144834795972,14
"195",0.387361326055267,14
"196",0.342707430852877,14
"197",0.394051863852514,15
"198",0.263753066001405,15
"199",0.276169059458043,15
"200",0.362084474761252,15
"201",0.285343599397953,15
"202",0.415915555032482,15
"203",0.376059281746803,15
"204",0.418866935205035,15
"205",0.267281528340752,15
"206",0.317177215411517,15
"207",0.263121890810881,15
"208",0.403490562536897,15
"209",0.543298581220328,15
"210",0.271570716004919,15
"211",0.301668933155001,16
"212",0.273081779122242,16
"213",0.363219473696348,16
"214",0.332278584209729,16
"215",0.194052045741831,16
"216",NA,16
"217",0.385745836488089,16
"218",0.29391094233767,16
"219",0.433175051253747,16
"220",0.319596545685633,16
"221",0.303272493853058,16
"222",0.210361585299325,16
"223",NA,16
"224",0.287119258052048,16
"225",0.301503999544905,17
"226",0.280594520543237,17
"227",0.270964726845992,17
"228",0.382167290728836,17
"229",0.446159093896869,17
"230",NA,17
"231",NA,17
"232",0.328782183382167,17
"233",0.2162889109145,17
"234",0.397087038875044,17
"235",0.351189905369949,17
"236",0.487518965735084,17
"237",NA,17
"238",NA,17
"239",0.464850899292251,18
"240",0.208700006083676,18
"241",0.327048700593966,18
"242",0.203764905851084,18
"243",0.24846125505677,18
"244",NA,18
"245",NA,18
"246",0.313949096688537,18
"247",0.382789747959861,18
"248",0.406275294711677,18
"249",0.473241677620818,18
"250",0.277200649012009,18
"251",NA,18
"252",NA,18
"253",0.354858755398607,19
"254",0.302504423711371,19
"255",0.325040468107342,19
"256",0.610977592239712,19
"257",0.385473468079999,19
"258",NA,19
"259",0.275531673338385,19
"260",0.289198925724046,19
"261",0.28780162454624,19
"262",0.304095791295192,19
"263",NA,19
"264",0.530893228747176,19
"265",NA,19
"266",0.382265691087933,19
"267",0.504778864368657,20
"268",0.364042162683691,20
"269",0.251734279348802,20
"270",NA,20
"271",-0.0665826564353009,20
"272",NA,20
"273",0.476477464500517,20
"274",0.28978274903433,20
"275",0.252375502343915,20
"276",0.230763620767385,20
"277",NA,20
"278",NA,20
"279",0.462612278557379,20
"280",0.265364520644425,20
"281",0.455842424528031,21
"282",0.273666708185369,21
"283",NA,21
"284",NA,21
"285",NA,21
"286",0.317523099535214,21
"287",0.228964299222497,21
"288",0.417128264509724,21
"289",0.353041270742601,21
"290",0.495330541819079,21
"291",NA,21
"292",NA,21
"293",0.258610437575237,21
"294",0.237898166155525,21
"295",0.289962167309525,22
"296",0.00494572185934494,22
"297",0.479835092932221,22
"298",NA,22
"299",NA,22
"300",0.358922798413083,22
"301",0.195644504796385,22
"302",0.397984715688012,22
"303",0.226444332584411,22
"304",NA,22
"305",NA,22
"306",NA,22
"307",0.307338988434261,22
"308",NA,22
"309",0.251483049870747,23
"310",0.155610718513067,23
"311",0.378588873967268,23
"312",NA,23
"313",NA,23
"314",0.522480324110287,23
"315",0.0689458104504554,23
"316",NA,23
"317",0.146727149051443,23
"318",NA,23
"319",0.519436351692367,23
"320",NA,23
"321",0.24052019282415,23
"322",0.248256892065178,23
"323",NA,24
"324",0.262499429104402,24
"325",0.55545206830268,24
"326",NA,24
"327",NA,24
"328",0.304853712107272,24
"329",NA,24
"330",NA,24
"331",NA,24
"332",0.28202663838629,24
"333",NA,24
"334",NA,24
"335",0.298564777149037,24
"336",0.24707448878421,24
