"","Date","Month","Interval","Veg","mil_time","Name","chamber","Site","CO2_Flux","CO2_NRMSE","CH4_Flux","CH4_NRMSE","Bubble_Flux","Temp","Depth","cdepth","level","presens1","presens6","Notes","h2o","h2o_cat","DOY"
"1",7062022,"July","Morning","Non-Vegetated",7,"7 AM",1,"O1: 7 AM",0.791021,0.21654,0.220238,11.605494,0.216695,22.9,1.15,1.15,"high",2.43,0.02,NA,0.23,"Flooded",187
"2",7062022,"July","Morning","Non-Vegetated",8,"8 AM",8,"O1: 8 AM",0.787955,0.272859,0.013638,0.162233,0,23.5,1.16,1.14,"high",2.43,0.02,NA,0.23,"Flooded",187
"3",7062022,"July","Morning","Non-Vegetated",9,"9 AM",14,"O1: 9 AM",0.915069,0.188345,0.0245,0.457778,0,24.05,1.15,1.13,"high",2.43,0.02,NA,0.23,"Flooded",187
"4",7062022,"July","Morning","Non-Vegetated",10,"10 AM",20,"O1: 10 AM",0.720626,0.179717,0.013727,0.138316,0,24.3,1.16,1.15,"high",2.43,0.02,NA,0.23,"Flooded",187
"5",7062022,"July","Morning","Non-Vegetated",10,"10 AM",21,"O2: 10 AM",0.004526,2.538295,-0.161421,2.387998,0.34489,24.35,1.16,1.15,"high",2.43,0.02,NA,0.23,"Flooded",187
"6",7062022,"July","Morning","Non-Vegetated",10,"10 AM",22,"O3: 10 AM",-0.00905,1.035026,0.014107,1.59321,0.249776,23,1.17,1.16,"high",2.43,0.02,NA,0.23,"Flooded",187
"7",7062022,"July","Afternoon","Non-Vegetated",11,"11 AM",26,"O1: 11 AM",0.712494,0.103608,0.024636,0.194762,0,23.6,1.17,1.16,"high",2.43,0.02,NA,0.23,"Flooded",187
"8",7062022,"July","Afternoon","Non-Vegetated",11,"11 AM",27,"O2: 11 AM",0.555443,0.187719,0.089375,0.358294,0,24,1.17,1.16,"high",2.43,0.02,NA,0.23,"Flooded",187
"9",7062022,"July","Afternoon","Non-Vegetated",11,"11 AM",28,"O3: 11 AM",0.095696,0.205311,0.282824,1.214406,0,24.55,1.18,1.17,"high",2.43,0.02,NA,0.23,"Flooded",187
"10",7062022,"July","Afternoon","Non-Vegetated",12,"12 PM",32,"O1: 12 PM",0.653008,0.175775,0.021175,0.164497,0,25.65,1.19,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"11",7062022,"July","Afternoon","Non-Vegetated",12,"12 PM",34,"O3: 12 PM",-0.910083,0.245252,0.152274,1.938534,0.320183,24.95,1.19,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"12",7062022,"July","Afternoon","Non-Vegetated",13,"1 PM",38,"O1: 1 PM",0.523753,0.404832,0.014422,0.192367,0,25.1,1.2,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"13",7062022,"July","Afternoon","Non-Vegetated",13,"1 PM",40,"O3: 1 PM",-0.456589,0.207807,0.04292,0.349882,0,24.1,1.2,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"14",7062022,"July","Afternoon","Non-Vegetated",14,"2 PM",44,"O1: 2 PM",0.54263,0.377388,0.018916,0.240651,0,24.3,1.2,1.19,"high",2.43,0.02,NA,0.23,"Flooded",187
"15",7062022,"July","Afternoon","Non-Vegetated",14,"2 PM",45,"O2: 2 PM",0.474523,0.217865,0.020005,0.258467,0,24.3,1.2,1.19,"high",2.43,0.02,NA,0.23,"Flooded",187
"16",7062022,"July","Afternoon","Non-Vegetated",14,"2 PM",46,"O3: 2 PM",-0.296459,0.297588,0.033657,0.287934,0,24.15,1.2,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"17",7062022,"July","Evening","Non-Vegetated",15,"3 PM",50,"O1: 3 PM",0.870259,0.566946,0.018931,0.381781,0,24.9,1.21,1.2,"high",2.43,0.02,NA,0.23,"Flooded",187
"18",7062022,"July","Evening","Non-Vegetated",15,"3 PM",51,"O2: 3 PM",0.549002,0.278811,0.191101,2.597202,-0.044359,24.95,1.21,1.2,"high",2.43,0.02,NA,0.23,"Flooded",187
"19",7062022,"July","Evening","Non-Vegetated",15,"3 PM",52,"O3: 3 PM",-0.542762,0.27171,0.056478,0.303129,0,25.9,1.21,1.2,"high",2.43,0.02,NA,0.23,"Flooded",187
"20",7062022,"July","Evening","Non-Vegetated",16,"4 PM",56,"O1: 4 PM",0.572167,0.18091,0.019087,0.191976,0,25.75,1.22,1.2,"high",2.43,0.02,NA,0.23,"Flooded",187
"21",7062022,"July","Evening","Non-Vegetated",16,"4 PM",57,"O2: 4 PM",0.456803,0.190814,0.586517,3.40021,0,25.7,1.23,1.21,"high",2.43,0.02,NA,0.23,"Flooded",187
"22",7062022,"July","Evening","Non-Vegetated",17,"5 PM",62,"O1: 5 PM",0.70606,0.09656,0.034248,0.745155,0,24,1.23,1.21,"high",2.43,0.02,NA,0.23,"Flooded",187
"23",7062022,"July","Evening","Non-Vegetated",17,"5 PM",63,"O2: 5 PM",0.61544,0.19263,0.486198,4.680628,0,23.35,1.23,1.21,"high",2.43,0.02,NA,0.23,"Flooded",187
"24",7062022,"July","Evening","Non-Vegetated",17,"5 PM",64,"O3: 5 PM",-0.149034,0.180195,1.230415,4.047803,0.333754,23.55,1.23,1.21,"high",2.43,0.02,NA,0.23,"Flooded",187
"25",7062022,"July","Evening","Non-Vegetated",18,"6 PM",68,"O1: 6 PM",0.795456,0.451559,0.676628,10.142617,0.637563,25.5,1.23,1.21,"high",2.43,0.02,NA,0.23,"Flooded",187
"26",7062022,"July","Evening","Non-Vegetated",18,"6 PM",69,"O2: 6 PM",0.55872,0.079622,0.012634,0.157174,0,24.45,1.23,1.21,"high",2.43,0.02,NA,0.23,"Flooded",187
"27",7062022,"July","Evening","Non-Vegetated",18,"6 PM",70,"O3: 6 PM",0.040992,0.172035,1.181912,5.111281,0.232035,23.55,1.23,1.21,"high",2.43,0.02,NA,0.23,"Flooded",187
"28",7062022,"July","Evening","Non-Vegetated",19,"7 PM",74,"O1: 7 PM",0.918011,0.173397,0.031295,0.340916,0,23.5,1.24,1.22,"high",2.43,0.02,NA,0.23,"Flooded",187
"29",7062022,"July","Evening","Non-Vegetated",19,"7 PM",75,"O2: 7 PM",0.703064,0.090518,0.00709,0.52984,0,24.2,1.24,1.22,"high",2.43,0.02,NA,0.23,"Flooded",187
"30",7062022,"July","Evening","Non-Vegetated",19,"7 PM",76,"O3: 7 PM",-0.030089,0.113641,0.044466,7.022897,0.09296,23.5,1.24,1.22,"high",2.43,0.02,NA,0.23,"Flooded",187
"31",7062022,"July","Morning","Non-Vegetated",7,"7 AM",7,"O4: 7 AM",0.880901,2.19808,0.003659,0.404571,-0.21967,23.3,1.15,1.14,"high",2.43,0.02,NA,0.23,"Flooded",187
"32",7062022,"July","Morning","Non-Vegetated",9,"9 AM",15,"O2: 9 AM",0.510812,1.50506,1.686814,3.903289,0.752107,24.15,1.15,1.13,"high",2.43,0.02,NA,0.23,"Flooded",187
"33",7062022,"July","Afternoon","Non-Vegetated",12,"12 PM",33,"O2: 12 PM",1.2567,3.328695,0.684812,4.250593,0.600282,24.6,1.19,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"34",7062022,"July","Morning","Vegetated",7,"7 AM",6,"V3: 7 AM",0.865402,4.383985,0.001373,0.003542,22.681854,23.4,1.15,1.14,"high",2.43,0.02,"",0.23,"Flooded",187
"35",7062022,"July","Morning","Vegetated",8,"8 AM",12,"V2: 8 AM",-0.565326,7.148886,1.115563,0.27169,2.719717,25.1,1.16,1.14,"high",2.43,0.02,"",0.23,"Flooded",187
"36",7062022,"July","Morning","Vegetated",9,"9 AM",17,"V1: 9 AM",-2.065253,0.914881,3.468978,9.830094,1.451084,24.3,1.15,1.13,"high",2.43,0.02,"",0.23,"Flooded",187
"37",7062022,"July","Morning","Vegetated",9,"9 AM",18,"V2: 9 AM",-0.809895,3.880776,0.489455,4.744719,8.033384,24.15,1.15,1.13,"high",2.43,0.02,"",0.23,"Flooded",187
"38",7062022,"July","Morning","Vegetated",10,"10 AM",24,"V2: 10 AM",-5.139391,6.641552,0.214828,0.720056,2.13755,23.55,1.17,1.16,"high",2.43,0.02,"",0.23,"Flooded",187
"39",7062022,"July","Morning","Vegetated",10,"10 AM",25,"V3: 10 AM",-2.20439,3.823719,0.01754,0.303111,1.59289,22.9,1.17,1.16,"high",2.43,0.02,"",0.23,"Flooded",187
"40",7062022,"July","Afternoon","Vegetated",11,"11 AM",29,"V1: 11 AM",-4.383961,1.786566,0.161028,4.699401,3.040799,24.9,1.17,1.16,"high",2.43,0.02,"",0.23,"Flooded",187
"41",7062022,"July","Afternoon","Vegetated",11,"11 AM",30,"V2: 11 AM",-6.053032,4.343488,0.927701,7.248813,2.498737,26,1.18,1.17,"high",2.43,0.02,"",0.23,"Flooded",187
"42",7062022,"July","Afternoon","Vegetated",12,"12PM",36,"V2: 12 PM",-5.333964,0.215322,0.71236,0.836312,0,25.15,1.19,1.18,"high",2.43,0.02,"",0.23,"Flooded",187
"43",7062022,"July","Afternoon","Vegetated",12,"12PM",37,"V3: 12 PM",-5.402886,0.464624,0.367287,10.222924,0,25.25,1.19,1.18,"high",2.43,0.02,"",0.23,"Flooded",187
"44",7062022,"July","Afternoon","Vegetated",13,"1 PM",41,"V1: 1 PM",-4.138915,0.564516,0.695058,4.490467,0.893356,24.9,1.2,1.18,"high",2.43,0.02,"",0.23,"Flooded",187
"45",7062022,"July","Afternoon","Vegetated",13,"1 PM",42,"V2: 1 PM",-3.251444,0.531987,0.629353,5.269718,0.756928,24.8,1.2,1.18,"high",2.43,0.02,"",0.23,"Flooded",187
"46",7062022,"July","Afternoon","Vegetated",13,"1 PM",43,"V3: 1 PM",-4.208723,0.514351,0.565574,18.390614,0.91686,24.7,1.2,1.18,"high",2.43,0.02,"",0.23,"Flooded",187
"47",7062022,"July","Afternoon","Vegetated",14,"2 PM",47,"V1: 2 PM",-3.306782,0.72727,0.298035,4.955711,1.038519,24.25,1.2,1.19,"high",2.43,0.02,"",0.23,"Flooded",187
"48",7062022,"July","Afternoon","Vegetated",14,"2 PM",48,"V2: 2 PM",-4.132747,0.483124,0.734988,1.764836,0.045853,25.05,1.2,1.19,"high",2.43,0.02,"",0.23,"Flooded",187
"49",7062022,"July","Afternoon","Vegetated",14,"2 PM",49,"V3: 2 PM",-3.602032,0.231774,0.9333,3.468012,0,25.4,1.2,1.19,"high",2.43,0.02,"",0.23,"Flooded",187
"50",7062022,"July","Evening","Vegetated",15,"3 PM",53,"V1: 3 PM",-6.127363,0.641097,0.719354,5.318971,0.31289,25.96,1.21,1.2,"high",2.43,0.02,"",0.23,"Flooded",187
"51",7062022,"July","Evening","Vegetated",15,"3 PM",54,"V2: 3 PM",-4.386192,0.449927,0.576316,1.548993,0,26.85,1.21,1.2,"high",2.43,0.02,"",0.23,"Flooded",187
"52",7062022,"July","Evening","Vegetated",15,"3 PM",55,"V3: 3 PM",-6.744732,0.347647,0.462777,8.163374,0,25.95,1.21,1.2,"high",2.43,0.02,"",0.23,"Flooded",187
"53",7062022,"July","Evening","Vegetated",16,"4 PM",59,"V1: 4 PM",-5.030729,0.747041,0.555951,3.1495,0.322769,24.4,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"54",7062022,"July","Evening","Vegetated",16,"4 PM",60,"V2: 4 PM",-3.362285,0.517241,0.455333,6.926596,0.840619,24.55,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"55",7062022,"July","Evening","Vegetated",16,"4 PM",61,"V3: 4 PM",-3.730855,0.142332,0.285667,3.397404,0,24.95,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"56",7062022,"July","Evening","Vegetated",17,"5 PM",65,"V1: 5 PM",-0.66197,0.287689,0.610256,7.277318,-0.062548,23.55,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"57",7062022,"July","Evening","Vegetated",17,"5 PM",66,"V2: 5 PM",-1.036102,0.242082,0.305732,11.975067,0.226954,23.9,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"58",7062022,"July","Evening","Vegetated",17,"5 PM",67,"V3: 5 PM",-0.378656,0.262014,0.399479,0.486599,0,23.2,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"59",7062022,"July","Evening","Vegetated",18,"6 PM",71,"V1: 6 PM",-1.803339,0.310105,0.343214,9.516847,0.06802,23.4,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"60",7062022,"July","Evening","Vegetated",18,"6 PM",72,"V2: 6 PM",-0.775586,0.992684,0.215894,18.813941,1.459565,24.2,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"61",7062022,"July","Evening","Vegetated",18,"6 PM",73,"V3: 6 PM",-0.91059,0.197202,0.369053,1.629379,0.06332,23.8,1.23,1.21,"high",2.43,0.02,"",0.23,"Flooded",187
"62",7062022,"July","Evening","Vegetated",19,"7 PM",77,"V1: 7 PM",-2.761965,0.829484,0.224983,6.921028,1.082542,24.6,1.24,1.22,"high",2.43,0.02,"",0.23,"Flooded",187
"63",7062022,"July","Evening","Vegetated",19,"7 PM",78,"V2: 7 PM",0.218019,0.468894,0.108547,6.156384,1.289168,24.55,1.24,1.22,"high",2.43,0.02,"OK; CH4 a little high (4-7ppm)",0.23,"Flooded",187
"64",7062022,"July","Evening","Vegetated",19,"7 PM",79,"V3: 7 PM",-1.444625,0.177,0.298288,1.621939,0,22.25,1.24,1.22,"high",2.43,0.02,"good",0.23,"Flooded",187
"65",8182022,"August","Morning","Non-Vegetated",7,"7 AM",1,"O1: 7AM",2.705939,0.498865,0.000941,0.423703,0,16.65,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"66",8182022,"August","Morning","Non-Vegetated",7,"7 AM",2,"O2: 7 AM",2.353624,0.31448,-0.000908,0.243889,0,16.55,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"67",8182022,"August","Morning","Non-Vegetated",7,"7 AM",3,"O3: 7 AM",1.670095,0.73809,0.002305,0.651094,0,15.85,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"68",8182022,"August","Morning","Non-Vegetated",8,"8 AM",7,"O1: 8 AM",1.512518,0.377964,-4.3e-05,0.298766,0,16.5,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"69",8182022,"August","Morning","Non-Vegetated",8,"8 AM",8,"O2: 8 AM",2.02432,0.535231,0.001835,0.296802,0,17.4,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"70",8182022,"August","Morning","Non-Vegetated",8,"8 AM",9,"O3: 8 AM",2.777781,0.28135,0.005502,0.219837,0,16.75,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"71",8182022,"August","Morning","Non-Vegetated",9,"9 AM",13,"O1: 9 AM",2.718082,0.205085,0.001242,0.151364,0,18.85,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"72",8182022,"August","Morning","Non-Vegetated",9,"9 AM",14,"O2: 9 AM",2.694208,0.383864,0.000978,0.139629,0,18.85,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"73",8182022,"August","Morning","Non-Vegetated",9,"9 AM",15,"O3: 9 AM",0.955769,0.34388,0.002051,0.405103,0,21.25,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"74",8182022,"August","Morning","Non-Vegetated",10,"10 AM",19,"O1: 10 AM",1.060289,0.493964,-0.002065,0.177137,0,21.15,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"75",8182022,"August","Morning","Non-Vegetated",10,"10 AM",20,"O2: 10 AM",2.572038,0.13437,0.000457,0.08526,0,21.25,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"76",8182022,"August","Morning","Non-Vegetated",10,"10 AM",21,"O3: 10 AM",0.284706,0.29558,0.012935,0.290191,0,25.1,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"77",8182022,"August","Afternoon","Non-Vegetated",11,"11 AM",25,"O1: 11 AM",1.619891,0.257516,-3e-05,0.11734,0,25.1,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"78",8182022,"August","Afternoon","Non-Vegetated",11,"11 AM",26,"O2: 11 AM",2.098982,0.395063,0.000285,0.095418,0,24.15,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"79",8182022,"August","Afternoon","Non-Vegetated",11,"11 AM",27,"O3: 11 AM",0.683266,1.372795,0.006231,0.336848,0,27.45,0.82,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"80",8182022,"August","Afternoon","Non-Vegetated",12,"12 PM",31,"O1: 12 PM",0.659056,0.522455,-0.001496,0.731652,0,28,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"81",8182022,"August","Afternoon","Non-Vegetated",12,"12 PM",32,"O2: 12 PM",2.407404,0.358231,0.000596,0.083875,0,29.1,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"82",8182022,"August","Afternoon","Non-Vegetated",12,"12 PM",33,"O3: 12 PM",3.669025,0.383079,0.002323,0.342168,0,25.35,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"83",8182022,"August","Afternoon","Non-Vegetated",13,"1 PM",37,"O1: 1 PM",1.127703,0.133352,0.001227,0.097976,0,31.6,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"84",8182022,"August","Afternoon","Non-Vegetated",13,"1 PM",38,"O2: 1 PM",3.173058,0.492714,0.001094,0.106339,0,30.95,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"85",8182022,"August","Afternoon","Non-Vegetated",13,"1 PM",39,"O3: 1 PM",3.469633,0.488375,0.013284,0.247749,0,23.75,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"86",8182022,"August","Afternoon","Non-Vegetated",14,"2 PM",43,"O1: 2 PM",0.982517,0.415277,0.001399,0.112287,0,29.7,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"87",8182022,"August","Afternoon","Non-Vegetated",14,"2 PM",44,"O2: 2 PM",2.014582,0.303378,0.003654,0.116028,0,30.05,0.82,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"88",8182022,"August","Afternoon","Non-Vegetated",14,"2 PM",45,"O3: 2 PM",2.797575,0.946517,0.005325,0.309441,0,21.65,0.81,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"89",8182022,"August","Evening","Non-Vegetated",15,"3 PM",49,"O1: 3 PM",2.533084,0.312985,0.004171,0.100221,0,32.15,0.81,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"90",8182022,"August","Evening","Non-Vegetated",15,"3 PM",50,"O2: 3 PM",2.127041,0.132973,0.000786,0.105548,0,33.1,0.81,0.78,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"91",8182022,"August","Evening","Non-Vegetated",15,"3 PM",51,"O3: 3 PM",2.701311,0.341589,0.002892,0.106983,0,24.65,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"92",8182022,"August","Evening","Non-Vegetated",16,"4 PM",55,"O1: 4 PM",3.679103,0.298621,0.006618,0.183816,0,29.1,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"93",8182022,"August","Evening","Non-Vegetated",16,"4 PM",56,"O2: 4 PM",2.044049,0.252071,0.001009,0.129378,0,30.8,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"94",8182022,"August","Evening","Non-Vegetated",16,"4 PM",57,"O3: 4 PM",2.766685,0.548297,0.001634,0.388361,0,22,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"95",8182022,"August","Evening","Non-Vegetated",17,"5 PM",61,"O1: 5 PM",2.722058,0.435477,0.007234,0.147507,0,29.45,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"96",8182022,"August","Evening","Non-Vegetated",17,"5 PM",62,"O2: 5 PM",3.226767,0.325481,0.001767,0.099428,0,31.2,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"97",8182022,"August","Evening","Non-Vegetated",17,"5 PM",63,"O3: 5 PM",3.918301,0.438226,0.001929,0.093758,0,23.6,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"98",8182022,"August","Evening","Non-Vegetated",18,"6 PM",67,"O1: 6 PM",3.440608,0.313243,0.011997,0.263181,0,28.5,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"99",8182022,"August","Evening","Non-Vegetated",18,"6 PM",68,"O2: 6 PM",4.161976,0.359308,0.002291,0.130457,0,28.4,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"100",8182022,"August","Evening","Non-Vegetated",18,"6 PM",69,"O3: 6 PM",3.67375,0.436574,0.005443,0.217759,0,20,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"101",8182022,"August","Evening","Non-Vegetated",19,"7 PM",73,"O1: 7 PM",3.765001,0.46274,0.006861,0.174211,0,25.25,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
"102",8182022,"August","Evening","Non-Vegetated",19,"7 PM",74,"O2: 7 PM",3.303543,0.30639,0.006142,0.312444,0,23.15,0.81,0.79,"low",6.78,4.94,NA,-0.15,"Dry/Partially Flooded",230
